name,str_hausnr,plz_ort,kategorie,hauptkateg,beschreib,url,bedeutung,prioritaet,poi_id,angelegt,geaendert,qstatus_id,coll_id,coll_pfad,coll_desc,ma_darst,ma_sign,sammlung,samm_pfad
Emil-von-Behring-Schule,Rastenburger Straße 11,44809 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.emil-von-behring-schule.de/,"3","1","211",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Gertrudisschule,Vorstadtstraße 14,44866 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.gertrudisschule-bochum.de,"3","1","212",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Goethe-Schule,Goetheplatz 1,44791 Bochum,Gymnasien,Bildung,"Städtisches Gymnasium, Pädagogische Übermittagbetreuung",www.goethe-schule.de,"3","1","213",2009/06/05,2020/08/04,"3","33",Bildung/Allgemeinbildende Schulen/Gymnasien,,"1",61101200XESchuleAllgemeinGymnasium,,
Graf-Engelbert-Schule,Königsallee 77-79,44789 Bochum,Gymnasien,Bildung,"Städtisches Gymnasium, Pädagogische Übermittagsbetreuung",www.ges-bochum.de,"3","1","215",2009/06/05,2020/08/04,"3","33",Bildung/Allgemeinbildende Schulen/Gymnasien,,"1",61101200XESchuleAllgemeinGymnasium,,
Grundschule Dahlhausen,Dr.-C.-Otto-Straße 112-114,44879 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.ggs-dahlhausen.de/,"3","1","216",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Grundschule Günnigfeld,Marktstraße 21,44866 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.ggs-guennigfeld.de/index.php?id=7,"3","1","218",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Emil-von-Behring-Schule Teilstandort,Hordeler Heide 169e,44793 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.emil-von-behring-schule.de/,"3","1","219",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Grundschule In der Vöde,Castroper Straße 235,44791 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",,"3","1","220",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Grundschule Laer,Alte Wittener Straße 19,44803 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.ggs-laer.de/,"3","1","221",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Grundschule Linden,Donnerbecke 3,44879 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.grundschulelinden.de,"3","1","222",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Regenbogenschule,Preins Feld 3,44869 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.ggs-regenbogen.bobi.net/,"3","1","223",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Volkshochschule (VHS) Bochum-Wattenscheid,Alter Markt 1,44866 Bochum,Volkshochschulen,Bildung,,www.vhs-bochum.de,"3","1","223016",2013/01/31,2018/09/28,"3","60",Bildung/Volkshochschulen,,"1",61201300XEWeiterbildungVolkshochschule,,
Volkshochschule (VHS) Bochum-Wattenscheid,Alter Markt 1,44866 Bochum,Weiterbildungseinrichtungen,Bildung,,www.vhs-bochum.de,"3","2","223016",2013/01/31,2018/09/28,"3","254",Bildung/Weiterbildungseinrichtungen,Weiterbildungseinrichtungen und Erwachsenenbildung,"1",61200000XEWeiterbildung,,
"Paul-Dohrmann-Schule Städtische Förderschule, Förderschwerpunkt Emotionale und soziale Entwicklung Teilstandort",Hiltroper Straße 53,44807 Bochum,Förderschulen,Bildung,"städtische Förderschule, Förderschwerpunkt Emotionale und soziale Entwicklung.",www.sfe.bobi.net,"3","1","224",2009/06/05,2020/08/04,"3","7",Bildung/Förderschulen,Förderschulen und Schulen für Lernbehinderte,"1",61101300XESchuleAllgemeinFoerderschule,,
Schule am Volkspark,Alte Bahnhofstraße 170,44892 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.ogs-am-volkspark.bobi.net/,"3","1","225",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Gräfin-Imma-Schule,Kemnader Straße 218,44797 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.graefin-imma-schule.de,"3","1","226",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Hans-Böckler-Schule,Querenburger Straße 35,44789 Bochum,Realschulen,Bildung,"Städtische Realschule, pädagogische Übermittagsbetreuung",www.hansibo.de,"3","1","229",2009/06/05,2020/08/04,"3","10",Bildung/Allgemeinbildende Schulen/Realschulen,,"1",61101150XESchuleAllgemeinRealschule,,
Schulverbund Hans-Christian-Andersen-Schule,Heinrichstraße 40,44805 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.hca-bochum.de/,"3","1","230",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
"Hasselbrink-Schule, LWL-Förderschule",Hauptstraße 153,44892 Bochum,Förderschulen,Bildung,LWL-Förderschule mit dem Förderschwerpunkt Sprache. Sekundarstufe I,www.hasselbrink-schule.de,"3","1","231",2009/06/05,2020/05/20,"3","7",Bildung/Förderschulen,Förderschulen und Schulen für Lernbehinderte,"1",61101300XESchuleAllgemeinFoerderschule,,
Lieselotte Rauner-Schule,Voedestraße 46-48,44866 Bochum,Hauptschulen,Bildung,"Städtische Gemeinschaftshauptschule, Ganztagshauptschule",www.liras.bobi.net/,"3","1","234",2009/06/05,2020/08/04,"3","9",Bildung/Allgemeinbildende Schulen/Hauptschulen,,"1",61101050XESchuleAllgemeinHauptschule,,
BIGEST Hebammenschule,Günnigfelder Straße 176,44793 Bochum,Schulen im Gesundheitsbereich,Bildung,"Bildungsinstitut für Berufe im Gesundheitswesen der ST. Elisabeth - Stiftung Bochum (BIGEST),",bigest.klinikum-bochum.de/hebammenschule.html,"2","1","236",2009/06/05,2020/05/20,"3","54",Bildung/Berufsschulen/Schulen im Gesundheitsbereich,"Schulen im Bereich des Gesundheitswesens: Krankenpflege-, Logopäden-, Heilpraktiker-, Hebammenschulen etc.","1",61201200XEWeiterbildungFachschule,,
Heinrich-Böll-Gesamtschule,Agnesstraße 33,44791 Bochum,Gesamtschulen,Bildung,Städtische Gesamtschule,www.hbg-bo.de/,"3","1","237",2009/06/05,2020/08/05,"3","32",Bildung/Allgemeinbildende Schulen/Gesamtschulen,,"1",61101250XESchuleAllgemeinGesamtschule,,
Heinrich-von-Kleist-Schule,Heinrichstraße 2,44805 Bochum,Gymnasien,Bildung,"Städtisches Gymnasium, im Schulzentrum Gerthe,",www.hvkbochum.de,"3","1","239",2009/06/05,2020/08/04,"3","33",Bildung/Allgemeinbildende Schulen/Gymnasien,,"1",61101200XESchuleAllgemeinGymnasium,,
Uni-City-Gebäude Blue Square,Kortumstraße 90,44787 Bochum,Staatliche Universitäten,Bildung,"neuer RUB-Standort seit 2013, Hier befinden sich die Räume mit den Bezeichnungen BS 2/1, BS 3/2, BS 4/3.",www.ruhr-uni-bochum.de,"2","2","239945",2013/10/10,2019/09/10,"3","184529",Bildung/Hochschulen/Universitäten/Staatliche Universitäten,Universitäten des Landes NRW,"1",61301000XEWissenschaftHochschule,,
Gesamtschule Bochum-Mitte,Feldsieper Straße 94,44809 Bochum,Sekundarschulen,Bildung,Sekundarstufe I,www.gebomi.de,"3","1","240",2009/06/05,2020/08/05,"3","191721",Bildung/Allgemeinbildende Schulen/Sekundarschulen,Sekundarschulen,"1",61101100XESchuleAllgemeinHauptRealschule,,
Hellweg-Schule,Lohackerstraße 13,44867 Bochum,Gymnasien,Bildung,"Städtisches Gymnasium, Pädagogische Übermittagbetreuungund Ganztagsgruppen für Klassen 5+",www.hellweg-schule.de,"3","1","241",2009/06/05,2020/08/05,"3","33",Bildung/Allgemeinbildende Schulen/Gymnasien,,"1",61101200XESchuleAllgemeinGymnasium,,
"Gesamtschule Bochum Mitte,Teilstandort",Gahlensche Straße 204b,44809 Bochum,Sekundarschulen,Bildung,"Sekundarstufe I, Jahrgangsstufe 5 bis 6, Ganztagsschule.",www.gebomi.de,"3","1","242",2009/06/05,2020/08/05,"3","191721",Bildung/Allgemeinbildende Schulen/Sekundarschulen,Sekundarschulen,"1",61101100XESchuleAllgemeinHauptRealschule,,
Urbanatix Open Space Trainingsräume,Bessemerstraße 85,44793 Bochum,Kunstschulen,Bildung,Trainingsanlage für Artistik und Straßenkunst..,www.facebook.com/UrbanatixOpenSpace/info?tab=page_info,"1","1","242627",2014/04/02,2020/05/20,"3","343",Bildung/Spezialschulen/Kunstschulen,,"1",61401000XESchuleSpezialKunstschule,,
"Hilda-Heinemann-Schule Städtische Förderschule, Förderschwerpunkt Geistige Entwicklung",Eifelstraße 15-17,44805 Bochum,Förderschulen,Bildung,"Städtische Förderschule, Förderschwerpunkt Geistige Entwicklung Ganztagsbetrieb",www.hilda-heinemann-schule.de,"3","1","243",2009/06/05,2020/08/04,"3","7",Bildung/Förderschulen,Förderschulen und Schulen für Lernbehinderte,"1",61101300XESchuleAllgemeinFoerderschule,,
Hildegardis-Schule,Klinikstraße 1,44791 Bochum,Gymnasien,Bildung,Städtisches Gymnasium. Europaschule in NRW - Pädagogische Übermittagbetreuung,www.hildegardis-bochum.de/,"3","1","244",2009/06/05,2020/08/05,"3","33",Bildung/Allgemeinbildende Schulen/Gymnasien,,"1",61101200XESchuleAllgemeinGymnasium,,
Hufelandschule,Hufelandstraße 17,44801 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.ggs-hufeland.bobi.net/,"3","1","245",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
"Alice-Salomon-Berufskolleg, Dependance Lenneplatz",Lenneplatz 21,44807 Bochum,Berufsbildende Schulen,Bildung,"Schule für Ernährung, Erziehung und Gesundheit, Berufliche Schulen und Berufliches Gymnasium",www.alice-salomon-berufskolleg.de/,"3","3","246562",2014/08/26,2020/08/05,"3","31",Bildung/Berufsschulen/Berufsbildende Schulen,Berufsbildende Schulen allgemein,"1",61201000XEWeiterbildungBerufsschule,,
"Alice-Salomon-Berufskolleg, Dependance Lenneplatz",Lenneplatz 21,44807 Bochum,Berufskollegs,Bildung,"Schule für Ernährung, Erziehung und Gesundheit, Berufliche Schulen und Berufliches Gymnasium",www.alice-salomon-berufskolleg.de/,"3","1","246562",2014/08/26,2020/08/05,"3","151",Bildung/Berufsschulen/Berufskollegs,,"1",61201000XEWeiterbildungBerufsschule,,
