OBJECTID;planid;name;datum;scanurl;kategorie;katart;klassifins;Bezeichnun;URL2;X_ETRS89;Y_ETRS89;kurzbe
679;DE_05911000_A646;Gremmestr. 31 a;2009-02-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A646.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A646_31-31a.jpg;374979;5704346;Wohnhaus / Geschäftshaus
680;DE_05911000_A646;Gremmestr. 33;2009-02-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A646.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A646_33-33a.jpg;374976;5704338;Wohnhaus / Geschäftshaus
681;DE_05911000_A646;Gremmestr. 33 a;2009-02-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A646.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A646_33_33a.jpg;374981;5704339;Wohnhaus / Geschäftshaus
682;DE_05911000_A086;Große Beckstr. 7;1989-08-23;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A086.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A086.jpg;376349;5704993;Rietkötter
683;DE_05911000_A323;Gudrunstr. 5;1994-11-25;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A323.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A323.jpg;376747;5706327;Wohnhaus / Geschäftshaus
684;DE_05911000_A322;Gudrunstr. 7;1994-11-23;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A322.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A322.jpg;376774;5706325;Wohnhaus / Geschäftshaus
685;DE_05911000_A102;Gudrunstr. 9;1989-10-19;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A102.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A102.jpg;376825;5706336;Wohnhaus / Geschäftshaus
686;DE_05911000_A147;Gudrunstr. 11;1990-06-11;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A147.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A147.jpg;376857;5706334;Wohnhaus / Geschäftshaus
687;DE_05911000_A028;Gudrunstr. 21;1989-04-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A028.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A028.jpg;376910;5706324;Wohnhaus / Geschäftshaus
688;DE_05911000_A320;Gudrunstr. 39;1994-11-08;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A320.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A320.jpg;377107;5706276;Wohnhaus / Geschäftshaus
